Rank,Name,Team,Cl,Games,Saves,GA,Goalie Min. Plyd,Pct.
-,Jack Stoecker,Santa Clara,Sr.,2,5,2,180,.714
115,JT Harms,Indiana,Sr.,4,12,5,360,.706
-,Adam Vik,Delaware,Jr.,4,12,5,360,.706
-,Zack Murphy,VMI,Jr.,3,12,5,256,.706
118,Loan Marin,Presbyterian,Jr.,4,14,6,315,.700
-,David Mitzner,UC Santa Barbara,Sr.,3,7,3,270,.700
-,Filip Sabatti,Memphis,Jr.,3,14,6,270,.700
-,Cole McNally,William & Mary,Sr.,3,7,3,211,.700
-,Flannan Riley,Temple,Sr.,2,7,3,180,.700
123,Jamie Barry,Niagara,Jr.,5,32,14,450,.696
124,Brennan Klein,Boston College,Sr.,4,9,4,360,.692
-,Laurin Mack,Maryland,Fr.,4,9,4,315,.692
-,Owen Moore,Liberty,Jr.,3,9,4,270,.692
-,Noah Schwengeler,UC Davis,Jr.,3,9,4,270,.692
-,Niclas Becker,Saint Francis,So.,2,9,4,180,.692
-,Blake Koski,Lehigh,Sr.,2,9,4,180,.692
130,Edgar Guerra,San Jose St.,Jr.,4,11,5,360,.688
-,Felix Schaefer,South Fla.,Sr.,4,11,5,360,.688
132,Pedro Alves,Saint Peter's,Sr.,4,24,11,360,.686
133,Nicky McCune,Cal Poly,Jr.,5,13,6,450,.684
-,Zenden Hart,CSU Bakersfield,Jr.,4,13,6,332,.684
-,Mac Learned,Sacramento St.,Sr.,3,13,6,270,.684
136,Nicolas Pucci,St. Bonaventure,Jr.,4,19,9,360,.679
-,Robert Gjelaj,SIUE,Sr.,3,19,9,241,.679
138,Cooper Jennings,USC Upstate,So.,4,21,10,360,.677
139,Alec McLachlan,St. John's (NY),Jr.,4,8,4,360,.667
-,Caleb Norris,Butler,Sr.,4,8,4,360,.667
-,Jack Kilstrom,Winthrop,So.,4,20,10,315,.667
-,Jack Petrie,Canisius,Sr.,4,10,5,296,.667
-,Alejandro DeLaTorre,UIW,Sr.,3,10,5,270,.667
-,Jonathan Munteanu,UAB,So.,3,4,2,270,.667
-,Leo Stritter,Charlotte,Jr.,3,4,2,270,.667
-,Fernando Schmelz,Iona,Fr.,3,6,3,225,.667
-,Aleksa Janjic,Marshall,Jr.,2,2,1,180,.667
148,Lucas Fontana,Chicago St.,Sr.,4,17,9,360,.654
-,Sebastian Cutler-DeJesus,Villanova,So.,4,17,9,315,.654
150,Eric Waltz,San Francisco,Sr.,4,13,7,360,.650
